mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,diachi_tinhtp,xeploai,soquyetdinh,ngaycapvb,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,diemrl_TB,dtb_hk1,dtb_hk2,dtb_hk3,dtb_hk4,dtb_hk5,dtb_hk6,dtb_hk7,dtb_hk8,dtb_hk9,dtb_hk10,chungchi_av,dtb_toankhoa,dtb_tichluy,sotc_tichluy,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_daura,hocky_thu,label
1D719539XPvAibaEXe8/3iNqySORb0aV1QVzGOA5,1994,Nam, Đồng Nai, KTPM0001, CNPM, CLC,2013, D480103, Huyện Trảng Bom, 960/QĐ-ĐHCNTT, 960/QĐ-ĐHCNTT,2019-12-31,58,59,57,58,58,58,58,58,58,58,58,6.43,6.98,6.02,7.26,6.15,6.63,5.65,8.31,5.0,9.1,0,7.05,7.05,167,22,22,25,15,23,15,18,14,3,10,136,10,0
47BABEDFXPvAibaEXe/FWKstHRRDnf6JBFMtxUeH,1995,Nữ, Thanh Hoá, HTTT2013, HTTT, CQUI,2013, D480104, Tỉnh Thanh Hóa,,,,52,52,-1,-1,-1,-1,-1,-1,-1,-1,52,6.02,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3.31,6.58,40,22,18,-1,-1,-1,-1,-1,-1,-1,-1,140,2,1
96967470XPvAibaEXe9upvU5DvuC9vY0bll+Ov+G,1995,Nam, Quảng Nam, HTTT0001, HTTT, CTTT,2013, D480104, Tỉnh Quảng Nam, 621/QĐ-ĐHCNTT, 621/QĐ-ĐHCNTT,2018-10-10,99,98,100,100,99,99,99,99,99,99,99,6.74,8.19,8.5,7.6,8.64,9.0,8.73,7.49,9.5,8.96,1,8.26,8.26,119,19,13,3,21,14,4,16,15,4,10,140,10,0
C78522F6XPvAibaEXe+PhKfQb0+XJ+23aVlRLh8x,1995,Nam, Vĩnh Long, MMTT0001, MMT&TT, CQUI,2013, D480299, Tỉnh Vĩnh Long, 621/QĐ-ĐHCNTT, 621/QĐ-ĐHCNTT,2018-10-10,86,93,86,78,86,86,86,86,86,86,86,5.82,7.4,6.9,7.57,7.4,7.29,7.77,0.0,6.81,7.4,0,6.75,7.2,143,22,21,24,17,3,15,14,3,15,9,121,10,0
E907A4DAXPvAibaEXe+Y5CB/5gt3MMEtpeI9uUCE,1995,Nam, Tiền Giang, KTPM2013, CNPM, CQUI,2013, D480103, Xã Kiểng Phước, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,84,67,100,84,84,84,84,84,84,84,84,6.75,6.44,6.75,8.49,5.4,7.53,5.92,8.36,7.0,8.68,1,7.46,7.46,173,22,24,28,17,15,19,16,11,4,17,136,10,0
72CEA909XPvAibaEXe+vL6q6thZ0NkWLVg2Q6x2D,1995,Nam, Bình Định, KTPM0001, CNPM, CQUI,2013, D480103, Tỉnh Bình Định, 621/QĐ-ĐHCNTT, 621/QĐ-ĐHCNTT,2018-10-10,86,88,83,86,86,86,86,86,86,86,86,6.64,7.64,7.79,7.03,6.56,6.64,6.61,5.92,7.94,8.34,1,7.22,7.39,180,22,18,21,23,16,19,16,18,18,9,136,10,0
E92C604FXPvAibaEXe+TFgEDwYNnvUQ2ahxW4uwh,1995,Nam, Đồng Nai, CNTT0001, KTTT, CQUI,2013, D480201, Tỉnh Đồng Nai, 443-QD-DHCNTT, 443-QD-DHCNTT,2019-08-01,75,83,78,64,75,75,75,75,-1,-1,75,6.19,6.7,7.1,6.68,6.83,6.28,7.81,7.93,-1.0,-1.0,0,7.1,7.21,153,18,23,20,23,24,14,21,10,-1,-1,125,8,0
E934BCD3XPvAibaEXe86736b6Ol+/MLJ5vOrqV8U,1994,Nam, Thái Bình, KHMT0001, KHMT, CQUI,2013, D480101, Tân Định,,,,58,44,71,58,58,58,58,58,58,58,58,6.5,3.79,4.87,3.34,2.89,3.17,5.81,2.08,2.76,7.2,0,3.75,6.09,207,22,19,23,19,29,26,7,30,28,4,126,10,0
1D74C87FXPvAibaEXe8Y+/3uR2PkTKeFWIOEfKn0,1995,Nam, Quảng Ngãi, CNTT0001, KTTT, CQUI,2013, D480201, Huyện Sơn Tịnh,,,,62,59,65,61,62,62,62,62,62,62,62,5.56,3.59,6.04,5.05,6.3,5.23,3.81,4.2,6.06,5.43,0,6.17,6.31,184,18,17,24,25,6,21,21,4,27,21,125,10,0
1DCACA12XPvAibaEXe/XBbLEWRhgQQZvuxC3bpO+,1995,Nam, TP. Hồ Chí Minh, MMTT0001, MMT&TT, KSTN,2013, D480299, Thành phố Hồ Chí Minh, 621/QĐ-ĐHCNTT, 621/QĐ-ĐHCNTT,2018-10-10,89,94,87,85,89,89,89,89,89,89,89,7.48,8.95,8.32,8.86,8.4,8.8,9.09,9.0,8.73,8.78,0,8.57,8.57,147,22,21,22,21,3,10,14,3,15,16,121,10,0
72C3C3A0XPvAibaEXe+/EkvXK98KbXqcwClyL444,1995,Nam, TP. Hồ Chí Minh, KHMT2013, KHMT, CQUI,2013, D480101, Thành phố Hồ Chí Minh,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,1,1
1DA45CE2XPvAibaEXe8jolcsAIssTCatCgflVvBX,1993,Nam, Bình Định, HTTT0001, HTTT, CQUI,2013, D480104, Tỉnh Bình Định, 777/QĐ-ĐHCNTT, 777/QĐ-ĐHCNTT,2020-11-12,75,67,79,79,75,75,75,75,75,75,75,5.81,4.36,5.79,6.9,6.13,7.45,6.96,6.29,6.45,7.24,1,6.81,6.88,167,18,18,7,26,15,8,25,18,22,10,140,10,0
1DA0751EXPvAibaEXe+y4Ivhjp8SxoECWfMevnWg,1992,Nam, Thành phố Cần Thơ, KTPM0001, CNPM, CLC,2013, D480103, Thành phố Cần Thơ,,,,57,76,38,57,57,57,57,57,57,57,57,7.02,6.05,5.33,6.9,7.12,7.08,6.84,4.56,3.6,0.0,0,6.19,7.08,161,22,22,23,17,18,19,15,18,7,0,136,9,0
E95E7C6DXPvAibaEXe+1j/AqdkpM22DHf6P99fDJ,1994,Nam, Đồng Tháp, MMTT2013, MMT&TT, CQUI,2013, D480102, Tỉnh Đồng Tháp, 178/QĐ_ĐHCNTT, 178/QĐ_ĐHCNTT,2017-04-14,100,100,100,100,100,100,100,100,-1,-1,100,6.48,5.89,6.17,7.5,7.0,7.63,8.07,7.6,-1.0,-1.0,0,7.19,7.19,162,22,22,12,26,20,21,18,21,-1,-1,121,8,1
479E77A5XPvAibaEXe/PGAaNNWvbUNSidEr/n3m6,1995,Nam, Đăk Lăk, KHMT2013, KHMT, CQUI,2013, D480101, Tỉnh Đắk Lắk,,,,58,63,53,58,-1,-1,-1,-1,-1,-1,58,4.23,3.0,1.69,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2.14,5.67,77,22,19,18,18,-1,-1,-1,-1,-1,-1,126,4,1
C76005A8XPvAibaEXe/X/wixypGyAg54ZpujWGey,1995,Nam, Lâm Đồng, HTTT2013, HTTT, CQUI,2013, D480104, Tỉnh Lâm Đồng, 66/QĐ_ĐHCNTT, 66/QĐ_ĐHCNTT,2018-01-19,59,77,48,53,59,59,59,59,-1,-1,59,5.86,6.47,7.02,4.96,6.77,7.33,6.76,6.79,-1.0,-1.0,0,6.62,6.79,168,22,19,25,27,26,15,18,16,-1,-1,140,8,0
EA3AD08BXPvAibaEXe+TFgEDwYNnvUPQ6K65N1LS,1995,Nam, Quảng Ngãi, KTMT2013, KTMT, CQUI,2013, D520214, Tình Quảng Ngãi, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,70,70,71,70,70,70,70,70,70,70,70,4.45,3.61,7.48,7.41,9.1,7.25,6.83,8.04,8.56,8.8,0,7.39,7.39,173,22,18,28,22,3,25,24,16,5,10,156,10,0
C63071C5XPvAibaEXe9JDlHA4z2GHBvVa1gNFpuJ,1995,Nam, Gia Lai, KHMT2013, KHMT, CQUI,2013, D480101, Thành phố Hồ Chí Minh, 713/QĐ_ĐHCNTT, 713/QĐ_ĐHCNTT,2017-10-06,74,67,81,74,74,74,74,74,-1,-1,74,6.45,6.43,7.77,8.1,8.58,7.6,7.58,8.57,-1.0,-1.0,0,7.68,7.68,150,22,14,26,20,18,20,18,12,-1,-1,126,8,1
A5457B71XPvAibaEXe/WSo41+3xFkNztfQk3Vj8t,1995,Nam, Đồng Nai, KTMT0001, KTMT, CQUI,2013, D520214, Tỉnh Đồng Nai, 542/QĐ_ĐHCNTT, 542/QĐ_ĐHCNTT,2020-08-31,67,69,65,67,67,67,67,67,67,67,67,4.92,3.85,4.5,5.06,4.32,2.94,5.0,6.86,5.17,7.26,0,6.5,6.5,185,18,20,10,18,21,19,25,18,22,14,156,10,0
721C35DDXPvAibaEXe9/su+qLcYDMstSMqP/eTXa,1995,Nam, Thành phố Hồ Chí Minh, MMTT0001, MMT&TT, CQUI,2013, D480102, Phường Phước Long B, 214/QĐ_ĐHCNTT, 214/QĐ_ĐHCNTT,2020-05-18,52,45,59,52,52,52,52,52,52,52,52,4.39,3.37,7.0,4.82,4.47,5.7,5.97,5.81,5.21,5.47,0,6.47,6.47,165,22,19,10,14,18,4,24,28,7,19,121,10,0
EAEA332CXPvAibaEXe9/su+qLcYDMtK7PvaLWMdM,1993,Nam, Long An, KTPM0001, CNPM, CQUI,2013, D480103, Thành phố Hồ Chí Minh,,,,82,86,78,82,82,82,82,82,82,82,82,6.41,7.36,9.5,6.95,7.32,5.8,5.64,7.25,4.08,8.6,0,7.35,7.5,155,22,22,4,28,17,4,16,15,17,10,136,10,0
1B290682XPvAibaEXe9HKUC7sboLjhj6Skar7Eh0,1995,Nam, Bà Rịa - Vũng Tàu, KHMT0001, KHMT, CQUI,2013, D480101, Tỉnh Bà Rịa - Vũng Tàu,,,,72,72,71,72,72,72,72,72,72,72,72,4.57,2.95,3.35,4.86,3.27,1.0,5.03,3.13,2.8,2.73,0,4.05,6.01,184,22,19,10,21,22,4,23,24,20,19,126,10,0
EAFB8611XPvAibaEXe+wmtNhlfgIwhUtxuTJu+OP,1995,Nam, Ninh Thuận, KHMT2013, KHMT, CQUI,2013, D480101, Tỉnh Ninh Thuận, 66/QĐ_ĐHCNTT, 66/QĐ_ĐHCNTT,2018-01-19,68,62,73,68,68,68,68,68,-1,-1,68,6.0,6.5,5.92,7.83,7.61,7.33,8.5,8.5,-1.0,-1.0,0,7.26,7.26,152,22,12,25,22,23,22,16,10,-1,-1,126,8,0
C50D57F6XPvAibaEXe9JdUmjPcaT8u0WARcbO2/5,1995,Nam, Thành phố Hồ Chí Minh, KTPM0001, CNPM, CQUI,2013, D480103, Thành phố Hồ Chí Minh, 675/QĐ-ĐHCNTT, 675/QĐ-ĐHCNTT,2019-10-11,78,86,71,78,78,78,78,78,78,78,78,6.14,6.52,6.67,7.59,6.45,7.02,5.34,4.73,0.0,8.09,0,6.8,6.98,173,22,22,26,18,17,15,20,15,3,15,136,10,0
49DAAF86XPvAibaEXe9X5bpEKoa0mvcHmZ6rxBHe,1995,Nữ, Quảng Ngãi, MMTT2013, MMT&TT, CQUI,2013, D480102, Tình Quảng Ngãi,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,1,1
85100785XPvAibaEXe9FiaSoce50DO/IaKolpO0O,1995,Nữ, Phú Yên, HTTT0001, HTTT, CQUI,2013, D480104, Tỉnh Phú Yên, 384/QĐ-ĐHCNTT, 384/QĐ-ĐHCNTT,2018-07-03,86,94,83,82,86,86,86,86,86,86,86,5.95,6.88,6.5,8.12,6.82,5.3,6.65,7.2,7.0,6.3,0,7.21,7.28,163,22,16,4,25,25,4,23,22,4,18,140,10,0
EB088421XPvAibaEXe9aucNQ7/14aMv4g9KsRfJR,1995,Nữ, Bình Định, CNTT2013, KTTT, CQUI,2013, D480201, Thành phố Quy Nhơn, 713/QĐ_ĐHCNTT, 713/QĐ_ĐHCNTT,2017-10-06,91,100,81,92,91,91,91,91,-1,-1,91,6.8,7.85,8.06,7.72,8.0,7.3,7.82,8.3,-1.0,-1.0,0,7.68,7.68,139,22,20,21,20,15,14,17,10,-1,-1,125,8,1
1AD297DDXPvAibaEXe8CKeIX0ksEeAeGfbwnr/en,1994,Nam, Thanh Hóa, KHMT0001, KHMT, CQUI,2013, D480101, Tỉnh Bình Dương,,,,52,67,36,52,52,52,52,52,52,52,52,5.42,4.32,6.0,5.13,2.94,5.0,5.82,5.57,6.57,7.27,0,6.34,6.58,165,18,19,3,27,19,4,18,25,7,25,126,10,0
C4EF60B5XPvAibaEXe9iKIRwqei6/NTXytYp5Ig8,1995,Nam, Đồng Nai, ANTT2013, MMT&TT, CQUI,2013, D480201, Thị xã Dĩ An,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,22,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,1,1
EB858A9EXPvAibaEXe+kwIr/VXjl06GMqaN1u5Lh,1995,Nam, Bình Phước, KTPM2013, CNPM, CQUI,2013, D480103, Tỉnh Bình Phước,,,,65,65,65,65,65,65,65,65,65,65,65,3.5,3.39,7.5,3.34,2.47,0.8,3.16,0.12,5.22,0.07,0,4.35,5.8,145,18,18,6,19,15,4,20,20,13,12,136,10,0
EB87A112XPvAibaEXe+yU1j0ocViqSbXKj24nkqQ,1995,Nam, Ninh Bình, KHMT2013, KHMT, CQUI,2013, D480101, Thành phố Biên Hoà, 713/QĐ_ĐHCNTT, 713/QĐ_ĐHCNTT,2017-10-06,66,65,67,66,66,66,66,66,66,66,66,5.52,5.53,5.0,5.87,3.72,5.47,3.0,8.04,7.2,7.54,0,7.05,7.24,168,22,17,6,23,20,7,22,17,4,30,126,10,0
4A04A81CXPvAibaEXe9JDlHA4z2GHD8uOGVrverQ,1995,Nam, TP. Hồ Chí Minh, KHMT2013, KHMT, CQUI,2013, D480101, Thành phố Hồ Chí Minh,,,,66,66,66,-1,-1,-1,-1,-1,-1,-1,66,4.3,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2.15,6.14,47,22,18,7,-1,-1,-1,-1,-1,-1,-1,126,3,1
1AE2E583XPvAibaEXe/X/wixypGyAvAp4QDIsUoZ,1995,Nam, TP. Hồ Chí Minh, ANTN2013, MMT&TT, KSTN,2013, D480299, Thành phố Hồ Chí Minh,,,,60,60,-1,-1,-1,-1,-1,-1,-1,-1,60,7.36,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3.77,7.36,43,22,21,-1,-1,-1,-1,-1,-1,-1,-1,121,2,1
C5653867XPvAibaEXe8wlx2/dthDAvgNFAzhdDbA,1995,Nam, Đồng Nai, KTPM2013, CNPM, CQUI,2013, D480103, Tỉnh Đồng Nai, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,98,100,96,98,98,98,98,98,98,98,98,7.73,8.07,8.52,8.09,6.58,6.63,7.18,8.21,7.0,9.5,0,8.02,8.15,163,22,22,21,17,15,18,17,17,4,10,136,10,0
84F1726EXPvAibaEXe/FejQN8/S5fHF/hPdc4T81,1995,Nam, Thừa Thiên Huế, MMTT0001, MMT&TT, CQUI,2013, D480102, Tỉnh Thừa Thiên Huế,,,,71,94,48,71,71,71,71,71,71,71,71,5.71,6.12,0.0,7.22,6.0,3.32,4.53,4.54,4.02,4.11,0,5.99,7.19,169,26,17,6,19,22,20,19,7,17,16,121,10,0
EAD40691XPvAibaEXe+wmtNhlfgIwtb87cTjmzYb,1995,Nam, Bà Rịa - Vũng Tàu, ANTT2013, MMT&TT, CQUI,2013, D480201, Thành phố Hồ Chí Minh,,,,59,59,59,-1,-1,-1,-1,-1,-1,-1,59,2.25,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.88,0.0,51,22,19,10,-1,-1,-1,-1,-1,-1,-1,121,3,1
1C65DB23XPvAibaEXe9KDsVv3cRkMWLqfW5W0dwV,1991,Nam, Thanh Hóa, MMTT0001, MMT&TT, CQUI,2013, D480102, Tỉnh Thanh Hóa,,,,62,61,63,62,62,62,62,62,62,62,62,7.08,7.2,6.5,7.17,6.49,7.22,7.28,7.0,7.0,6.22,0,7.44,7.44,149,18,20,9,18,15,18,17,4,15,15,121,10,0
1C3D8B35XPvAibaEXe+PhKfQb0+XJ8AdRGrKHKPg,1995,Nam, Đồng Nai, MMTT2013, MMT&TT, CQUI,2013, D480102, Phường An Bình, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,80,75,86,80,80,80,80,80,80,80,80,7.36,7.08,7.14,8.55,8.41,8.56,8.1,8.1,9.1,8.4,0,8.12,8.12,152,22,19,7,20,19,14,15,15,11,10,121,10,0
C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola,1995,Nam, Quảng Ngãi, HTTT0001, HTTT, CQUI,2013, D52480104, Tình Quảng Ngãi, 621/QĐ-ĐHCNTT, 621/QĐ-ĐHCNTT,2018-10-10,71,72,81,61,71,71,71,71,71,71,71,4.18,5.7,2.45,5.3,4.38,5.81,5.66,5.06,7.59,6.31,1,6.31,6.31,182,22,20,10,25,17,7,28,26,7,20,140,10,0
844FC6F6XPvAibaEXe+Y5CB/5gt3MJxEmi5bZKP2,1995,Nam, Hải Dương, KHMT2013, KHMT, CQUI,2013, D480101, Thành phố Hồ Chí Minh, 713/QĐ_ĐHCNTT, 713/QĐ_ĐHCNTT,2017-10-06,90,86,93,90,90,90,90,90,-1,-1,90,6.73,6.38,7.25,6.5,7.83,6.77,7.4,8.01,-1.0,-1.0,0,7.06,7.14,145,22,16,24,17,16,21,18,11,-1,-1,126,8,1
48D92F82XPvAibaEXe8Cym7B6GX+Tqsl9buO6vGi,1995,Nam, Đăk Lăk, KTPM2013, CNPM, CQUI,2013, D480103, Tỉnh Đắk Nông, 222/QĐ-ĐHCNTT, 222/QĐ-ĐHCNTT,2018-04-10,86,86,86,86,86,86,86,86,86,-1,86,7.36,7.84,8.48,8.28,6.18,8.01,8.0,8.54,9.2,-1.0,1,8.09,8.09,156,22,22,21,17,15,19,16,14,10,-1,136,9,0
48FC82A9XPvAibaEXe/zHDidEgqCTpNgD2sEaeIC,1995,Nam, TP. Hồ Chí Minh, CNTT2013, KTTT, CQUI,2013, D480201, Thành phố Hồ Chí Minh,,,,52,52,52,52,52,-1,-1,-1,-1,-1,52,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.02,0.0,68,18,20,7,11,12,-1,-1,-1,-1,-1,125,5,1
